STARTING!
Min num runs: [50]
Min runs duration (seconds): [1]
Max runs duration (seconds): [150]
Inter-run delay (seconds): [-1]
Num threads: [4]
Benchmark name: []
Output prefix: []
Min warmup runs: [1]
Min warmup runs duration (seconds): [0.5]
Graph: [output_graph.tflite]
Input layers: []
Input shapes: []
Input value ranges: []
Use nnapi : [0]
Use legacy nnapi : [0]
Use gpu : [0]
Allow lower precision in gpu : [1]
Allow fp16 : [0]
Require full delegation : [0]
Enable op profiling: [1]
Max profiling buffer entries: [1024]
Loaded model output_graph.tflite
resolved reporter
Initialized session in 5.983ms
[Init Phase] - Memory usage: max resident set size = 0.78125 MB, total malloc-ed size = 0.994659 MB
Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
count=1 curr=883540

Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
count=50 first=851650 curr=851908 min=850165 max=865046 avg=853083 std=2215

[Overall] - Memory usage: max resident set size = 46.7188 MB, total malloc-ed size = 0.825554 MB
Average inference timings in us: Warmup: 883540, Init: 5983, no stats: 853083
============================== Run Order ==============================
	             [node type]	          [start]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	        Misc Runtime Ops	            0.000	    1.335	    1.335	  0.006%	  0.006%	   639.936	        0	AllocateTensors/0
	                 RESHAPE	            0.000	    0.005	    0.005	  0.001%	  0.007%	     0.000	        0	[ExpandDims]:0
	        AudioSpectrogram	            0.006	    0.195	    0.184	  0.022%	  0.028%	     0.000	        0	[AudioSpectrogram]:1
	                    Mfcc	            0.192	    0.415	    0.469	  0.055%	  0.083%	     0.000	        0	[Mfcc]:2
	                 RESHAPE	            0.663	    0.002	    0.002	  0.000%	  0.084%	     0.000	        0	[mfccs]:3
	         FULLY_CONNECTED	            0.667	   30.778	   30.897	  3.623%	  3.707%	     0.000	        0	[Relu]:4
	                 MINIMUM	           31.569	    1.197	    1.214	  0.142%	  3.849%	     0.000	        0	[Minimum]:5
	         FULLY_CONNECTED	           32.785	   80.419	   80.669	  9.460%	 13.309%	     0.000	        0	[Relu_1]:6
	                 MINIMUM	          113.459	    1.195	    1.200	  0.141%	 13.450%	     0.000	        0	[Minimum_1]:7
	         FULLY_CONNECTED	          114.661	   72.713	   72.862	  8.544%	 21.994%	     0.000	        0	[Relu_2]:8
	                 MINIMUM	          187.528	    1.196	    1.207	  0.142%	 22.136%	     0.000	        0	[Minimum_2]:9
	                 RESHAPE	          188.736	    0.043	    0.045	  0.005%	 22.141%	     0.000	        0	[Reshape_2]:10
	           STRIDED_SLICE	          188.782	    0.017	    0.017	  0.002%	 22.143%	     0.000	        0	[cudnn_lstm/rnn/multi_rnn_cell/strided_slice]:11
	           STRIDED_SLICE	          188.801	    0.014	    0.015	  0.002%	 22.145%	     0.000	        0	[cudnn_lstm/rnn/multi_rnn_cell/strided_slice_1]:12
	           STRIDED_SLICE	          188.818	    0.014	    0.014	  0.002%	 22.147%	     0.000	        0	[cudnn_lstm/rnn/multi_rnn_cell/strided_slice_2]:13
	           STRIDED_SLICE	          188.833	    0.013	    0.013	  0.002%	 22.148%	     0.000	        0	[cudnn_lstm/rnn/multi_rnn_cell/strided_slice_3]:14
	           STRIDED_SLICE	          188.848	    0.012	    0.011	  0.001%	 22.149%	     0.000	        0	[cudnn_lstm/rnn/multi_rnn_cell/strided_slice_4]:15
